"province","additional_info_id","additional_info_short","additional_info_full"
"Alberta",60,"AB60","23-06-2020: 1 fewer case in South. Cases redistributed accordingly"
"Alberta",61,"AB61","30-06-2020: 1 case from ""Not Reported"" removed. Case reallocated to Calgary"
"Alberta",62,"AB62","02-07-2020: 1 previous case from Central removed. Cases redistributed accordingly"
"Alberta",63,"AB63","09-07-2020: 1 fewer case with Not Reported health region. Cases redistributed accordingly"
"Alberta",64,"AB64","15-07-2020: 1 case from ""Not Reported"" removed - reallocated to Calgary"
"Alberta",65,"AB65","14-07-2020: 4 fewer cases with Not Reported health region. Case redistributed accordingly (from Not Reported to Calgary)"
"Alberta",66,"AB66","20-07-2020: 3 previously Not Reported updated to Calgary until further information is available"
"Alberta",67,"AB67","17-07-2020: 1 fewer case with Not Reported health region. Cases redistributed accordingly"
"Alberta",68,"AB68","2020-08-07: 2 cases removed from Not Reported - this case was re-attributed to Calgary"
"Alberta",69,"AB69","2020-08-04: 2 cases removed from Not Reported - reallocated to Calgary and date changed"
"Alberta",70,"AB70","Health region changed from not reported to Calgary as there was a decrease in case with not reported on 2020-08-06"
"Alberta",71,"AB71","Health region changed from not reported to Edmonton as there was a decrease in case with not reported on 2020-08-07"
"Alberta",72,"AB72","12-08-2020: 1 case removed from Central. Case redistributed to Calgary"
"Alberta",73,"AB73","20-08-2020: 1 Not Reported updated to Edmonton"
"Alberta",74,"AB74","01-09-2020: 2 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",75,"AB75","25-08-2020: Number of cases with Not Reported health region decreased by 1. Cases redistributed accordingly"
"Alberta",76,"AB76","27-08-2020: Changed from Not Reported to Edmonton"
"Alberta",77,"AB77","31-08-2020: 4 cases with Not Reported health region removed. Reallocated to Calgary"
"Alberta",78,"AB78","09-09-2020: Central Changed to Edmonton"
"Alberta",79,"AB79","17-09-2020: 1 case removed from unknown health region. Case was redistributed to Calgary"
"Alberta",80,"AB80","10-09-2020: Two cases removed from Not Reported. Cases redistributed accordingly"
"Alberta",81,"AB81","16-09-2020: Not Reported case backfilled iwth Calgary"
"Alberta",82,"AB82","16-09-2020: Not Reported case backfilled with Calgary"
"Alberta",83,"AB83","23-09-2020: Case removed from Central. Cases reallocated accordingly"
"Alberta",84,"AB84","29-09-2020: 5 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",85,"AB85","23-09-2020: Two cases removed from Not Reported. Reallocated accordingly"
"Alberta",86,"AB86","01-10-2020: Changed from South to Edmonton and date from 30-09-2020 to 01-10-2020"
"Alberta",87,"AB87","02-10-2020: 4 cases removed from Not Reported. Replaced with new cases announced today"
"Alberta",88,"AB88","09-10-2020: 3 cases removed from Not Reported. Cases redistributed accordingly"
"Alberta",89,"AB89","16-10-2020: 2 cases removed from Not Reported. Replaced with new case announced in Edmonton"
"Alberta",90,"AB90","14-10-2020: Previously Not Reported backfilled iwth Calgary"
"Alberta",91,"AB91","20-10-2020: 5 previous cases removed from Not Reported health region. Cases redistributed accordingly"
"Alberta",92,"AB92","23-10-2020: 3 cases removed from Not Reported. Cases redistributed accordingly"
"Alberta",93,"AB93","22-10-2020: 2 cases removed from Not Reported. Cases redistributed accordingly"
"Alberta",94,"AB94","30-10-2020: 3 cases removed from Not Reported. Redistributed accordingly"
"Alberta",95,"AB95","04-11-2020: 11 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",96,"AB96","12-11-2020: 12 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",97,"AB97","10-11-2020: 22 cases with Not Reported health region removed. Cases reallocated accordingly"
"Alberta",98,"AB98","19-11-2020: Not Reported replaced with Calgory"
"Alberta",99,"AB99","14-01-2021: 12 cases removed from Not Reported and reallocated to Calgary"
"Alberta",100,"AB100","19-11-2020: 1 Not Reported replaced with Calgary"
"Alberta",101,"AB101","18-11-2020: 1 case removed from Not Reported. Cases reallocated accordingly"
"Alberta",102,"AB102","24-11-2020: 27 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",103,"AB103","26-11-2020: 3 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",104,"AB104","29-12-2020 changed from Not Reported to Edmonton"
"Alberta",105,"AB105","12-12-2020: 16 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",106,"AB106","10-12-2020: 18 cases with Not Reported health region were re-assigned to Edmonton to match provincial numbers"
"Alberta",107,"AB107","09-12-2020: 32 cases removed from not reported and reallocated to Edmonton"
"Alberta",108,"AB108","2020-12-03: Changed from Not Reported to Edmonton"
"Alberta",109,"AB109","01-12-2020: 19 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",110,"AB110","05-12-2020: Changed from not reported to Edmonton"
"Alberta",111,"AB111","08-12-2020: 45 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",112,"AB112","29-12-2020: Changed from Not Reported to Edmonton"
"Alberta",113,"AB113","On 2020-12-29, changed from not reported to Edmonton"
"Alberta",114,"AB114","On 2020-12-23 less cases with not reported health region were reported. The difference was assigned to Calgary"
"Alberta",115,"AB115","15-12-2020: 8 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",116,"AB116","18-12-2020: 18 cases removed from Not Reported and reallocated accordingly"
"Alberta",117,"AB117","On 2020-12-23 the health region previously not reported was assigned to Calgary"
"Alberta",118,"AB118","12-01-2021: 17 cases removed from Not Reported and reallocated accordingly"
"Alberta",119,"AB119","09-01-2020: Changed from Not Reported to Calgary"
"Alberta",120,"AB120","09-01-2021: Not Reported changed to Calgary"
"Alberta",121,"AB121","08-01-2021: 3 previous cases with Not Reported health region reassigned in line with official numbers"
"Alberta",122,"AB122","11-01-2021: 4 cases removed from Not Reported and reallocated to Calgary"
"Alberta",123,"AB123","22-01-2021: 1 case removed with Not Reported health region removed. Reallocated to Calgary"
"Alberta",537,"AB537","26-01-2021: 1 case with pending location information removed. Reallocated to Calgary"
"Alberta",542,"AB542","27-01-2021: 3 cases changed from Not Reported to Calgary"
"Alberta",567,"AB567","02-02-2021: 4 cases removed from Not Reported. Reallocated to Calgary"
"Alberta",574,"AB574","02-02-2021: 5 cases removed from Not Reported. Reallocated to Calgary"
"Alberta",577,"AB577","03-02-2021: 5 cases moved from not reported to Calgary"
"Alberta",579,"AB579","Reassigned to Calgary on 04-02-2021"
"Alberta",580,"AB580","05-02-2021: 4 not reported cases assigned to Calgary"
"Alberta",585,"AB585","06-02-2021: changed health region from not reported to South for Feb 6 to align cases with website"
"Alberta",593,"AB593","09-02-2021: 9 cases with pending location information (Not Reported) removed. Redistributed to Calgary"
"Alberta",604,"AB604","11-02-2021: 2 changed from Not Reported to Calgary"
"Alberta",609,"AB609","12-02-2021: Updated region information from ""Not Reported"
"Alberta",662,"AB662","14-02-2021: 2 Not Reported changed to Calgary"
"Alberta",671,"AB671","17-02-2021: 4 cases with unknown location were removed and redistributed to Calgary"
"Alberta",675,"AB675","18-02-2021: 8 Not Reported changed to Edmonton"
"Alberta",676,"AB676","18-02-2021: 8 Not Reported Changed to Edmonton"
"Alberta",737,"AB737","20-02-2021: Region changed from Not Reported to South to realign with website numbers"
"Alberta",749,"AB749","23-02-2021: Health region redistributed from Not Reported to South"
"Alberta",750,"AB750","23-02-2021: Region redistributed from Not Reported to South"
"Alberta",754,"AB754","24-02-2021: 2 previous cases with Not Repoted health region re-assigned to Calgary"
"Alberta",775,"AB775","03-01-2021: 1 case with pending location information was removed and reallocated to Calgary"
"Alberta",776,"AB776","02-03-2021: Previous unreported case reassigned to Edmonton"
"Alberta",784,"AB784","04-03-2021: Changed from Not Reported to Calgary"
"Alberta",800,"AB800","09-03-2021: 5 cases with Not Reported health region removed. Reassigned to Calgary"
"Alberta",806,"AB806","11-03-2021: Changed from Not Reported to Calgary"
"Alberta",815,"AB815","13-03-2021: Date changed to align with number of new cases announced today"
"Alberta",819,"AB819","15-03-2021: Not Reported case reassigned to Edmonton"
"Alberta",824,"AB824","17-03-2021: 5 cases removed from Not Reported. Cases redistributed accordingly"
"Alberta",834,"AB834","21-03-2021: 2 cases removed from Not Reported. Cases reallocated accordingly"
"Alberta",836,"AB836","23-03-2021: 6 cases removed from Not Reported and redistributed accordingly"
"Alberta",855,"AB855","28-03-2021: Changed from Not Reported to Calgary"
"Alberta",873,"AB873",""
"Alberta",874,"AB874","On March 25th, Alberta had less unknown health regions than the 24th, so we have assumed redistribution of cases accordingly. "
"Alberta",875,"AB875","On March 26th, Alberta had less unknown health regions than the 25th, so we have assumed redistribution of cases accordingly. "
"Alberta",876,"AB876","12-08-2020: 1 case removed from Central. Case redistributed to Calgary "
"Alberta",877,"AB877","31-08-2020: 4 cases with Not Reported health region removed. Reallocated to Calgary "
"Alberta",878,"AB878","10-09-2020: Two cases removed from Not Reported. Cases redistributed accordingly "
"BC",1,"BC1","Out of Canada: As of 09/07/2020, BC announced 51 previous cases were reclassified as being non-Canadian visitors to BC. We have edited accordingly"
"BC",2,"BC2","The individual had close contact with family visitors from Wuhan city"
"BC",3,"BC3","Contact with Travel Case"
"BC",4,"BC4","Travel and Close Contact"
"BC",5,"BC5","Same household as 19"
"BC",6,"BC6","Same household as 18"
"BC",7,"BC7","Works at long-term care facility, the Lynn Valley Care Centre. Identified through syndromic surveillance"
"BC",8,"BC8","Residents at care home; believed contracted from Case 21"
"BC",9,"BC9","Works at long-term care facility, the Lynn Valley Care Centre"
"BC",10,"BC10","Identified through syndromic surveillance"
"BC",11,"BC11","Resident at Hollyburn; The outbreak at this facility is linked to the outbreak at Lynn Valley Care Centre. Identified through active surveillance"
"BC",12,"BC12","Works at Hollyburn House Retirement Residence and Lynn Valley Care Centre; The outbreak at this facility is linked to the outbreak at Lynn Valley Care Centre. Identified through active surveillance"
"BC",13,"BC13","Works at Hollyburn House Retirement Residence and Lynn Valley Care Centre; The outbreak at this facility is linked to the outbreak at Lynn Valley Care Centre. 14-03-2020: Actually works at Lynn Valley. Identified through active surveillance"
"BC",14,"BC14","Nile Cruise; Travel and Close Contact"
"BC",15,"BC15","case identified through laboratory surveillance"
"BC",16,"BC16","Administrative staff at Lionsgate hospital, outbreak"
"BC",17,"BC17","Close contact of Lynn Valley healthcare worker (possibly also a care worker there, uncear)"
"BC",18,"BC18","Nile Cruise"
"BC",19,"BC19","Resident of Lyn Valley. Lynn Valley Outbreak: 4 residents, 12 staff"
"BC",20,"BC20","Lynn Valley Outbreak: 4 residents, 12 staff"
"BC",21,"BC21","Europe inc. Portugal (most recently)"
"BC",22,"BC22","On March 17th, region totals were announced in BC after no region details were provided on March 16th; therefore, while the totals for each BC region reported are accurate over March 16th and 17th, regions per day are based on assumptions on distrbution"
"BC",23,"BC23","28-09-2020: 3 cases removed from Northern. Cases replaced with new case announced today / On March 17th, region totals were announced in BC after no region details were provided on March 16th; therefore, while the totals for each BC region reported are accurate over March 16th and 17th, regions per day are based on assumptions on distrbution"
"BC",24,"BC24","One case in long term care facility."
"BC",25,"BC25","A staff member of Dufferin Care Centre was diagnosed with COVID-19. The staff member is in self-isolation at home."
"BC",26,"BC26","Lynn Valley Resident. 5 new hospital admissions (27 total), 6 total recovered, 1 new death (10 total)"
"BC",27,"BC27","5 new hospital admissions (27 total), 6 total recovered, 1 new death (10 total)"
"BC",28,"BC28","33 total hospitalized, 14 total ICU, 100 total recovered, 3 new deaths (13 total), two HCW (1 Fraser Health - Delta View, 1 Vancouver Coastal - German Canadian Care Home) were confirmed positive 'over the weekend'"
"BC",29,"BC29","Healthcare worker in Delta View Care Centre"
"BC",30,"BC30","Healthcare worker at German-Canadian Care Home"
"BC",31,"BC31","First resident at Evergreen Heights Care Centre"
"BC",32,"BC32","Resident at Evergreen Heights assisted-living residence"
"BC",33,"BC33","15 residents total at Haro Park (+5 today). 25 staff (+13 today - not included in data)"
"BC",34,"BC34","Healthcare worker at Little Mountain Place residential care home"
"BC",35,"BC35","Broadway Pentecostal Lodge staff member"
"BC",36,"BC36","Work at Lynn Valley"
"BC",37,"BC37","Work at Haro Park"
"BC",38,"BC38","Resident in long-term care facility"
"BC",39,"BC39","03-07-2020: 6 previous cases removed due to being out of province. Replaced with new cases from 03-07-2020"
"BC",40,"BC40","08-05-2020: 2 cases in Island removed due to ""data error"" according to BC Health officials"
"BC",41,"BC41","On 14-05-2020 BC pess conference and dashboard do not align, we have redistributed cases accordingly"
"BC",42,"BC42","15-12-2020: Case removed from Out of Province (Not Reported) to Fraser // Out of Canada: As of 09/07/2020, BC announced 51 previous cases were reclassified as being non-Canadian visitors to BC. We have edited accordingly"
"BC",43,"BC43","On 22-05-2020 BC reported corrections due to data errors, we have reported all new cases to this date."
"BC",44,"BC44","28-05-2020: 1 previous Vancouver Coastal case no longer deemed positive. Replaced with new VC case from 28-05-2020"
"BC",45,"BC45","29-09-2020: 1 case from Fraser (Male, aged 70-79 reported on 27-05-2020) was removed. Replaced with new case announced today"
"BC",46,"BC46","10-06-2020: Previous case now considered negative. Replaced with new case from VC from 10-06-2020"
"BC",47,"BC47","Epi-linked case"
"BC",48,"BC48","08-06-2020: number of cases in the Vancouver Coastal Health region has been adjusted to reflect a reporting error"
"BC",49,"BC49","08-06-2020: 1 fewer case in Vancouver Coastal, cases have been redistributed accordingly (Northern). 12-06-2020: Case removed after a ""data correction"". Replaced with case from Fraser on 12-06-2020"
"BC",50,"BC50","05-06-2020: 1 fewer case in Vancouver Coastal. Replaced with new case from Fraser on 05-06-2020."
"BC",51,"BC51","Epi-Linked"
"BC",52,"BC52","29-06-2020: 1 previous case in Fraser removed from BC official dataset. Replaced with new case from Fraser from 29-06-2020"
"BC",53,"BC53","Epi-linked"
"BC",54,"BC54","26-06-2020: Correction to data error from BCCDC. 1 fewer case in Vancouver Coastal. Replaced with case from Fraser from 26-06-2020"
"BC",55,"BC55","19-10-2020: 1 case from Out of Canada removed. Replaced with new case announced today"
"BC",56,"BC56","21-07-2020: Previous case in Northern removed. inline with BCCDC data. Cases redistributed accordingly"
"BC",57,"BC57","20-07-2020: 1 previous case from Northern removed. Cases redistributed accordingly"
"BC",58,"BC58","21-07-2020: 1 previous case from Vancouver Island removed in line with BCCDC data. Cases redistributed accordingly"
"BC",59,"BC59","21-07-2020: 1 previous case in Vancouver Island health region removed in line with BCCDC data. Cases redistributed accordingly"
"BC",60,"BC60","Not resident of Canada"
"BC",61,"BC61","29-07-2020: Previous case from Interior removed. Cases redistributed accordingly"
"BC",62,"BC62","22-07-2020: 2 previous cases in Fraser removed inline with BCCDC data. Cases redistributed accordingly"
"BC",63,"BC63","22-07-2020: 2 previous case in Fraser removed inline with BCCDC data. Cases redistributed accordingly"
"BC",64,"BC64","Not Canadian resident"
"BC",65,"BC65","04-08-2020: Previous case removed. Cases redistributed accordingly. Epi-linked"
"BC",66,"BC66","30-07-2020: 1 previous case from Interior removed in line with BCCDC data. Cases redistributed accordingly"
"BC",67,"BC67","Epi-inked"
"BC",68,"BC68","Not Canadian Resident"
"BC",69,"BC69","04-08-2020: Previous case removed. Cases redistributed accordingly"
"BC",70,"BC70","13-08-2020: 1 case removed from Fraser. Redistributed to a case added on 10-08-2020"
"BC",71,"BC71","30-11-2020: Case removed from Fraser. Cases reallocated accordingly"
"BC",72,"BC72","Not Candian resident"
"BC",73,"BC73","05-08-2020: 1 previous case removed. Cases redistributed accordingly"
"BC",74,"BC74","17-08-2020: Case removed. Replaced with new case"
"BC",75,"BC75","12-08-2020: Previous cases removed. Cases redistributed accordingly"
"BC",76,"BC76","10-08-2020: 1 previous case from Fraser removed. Cases redistributed accordingly"
"BC",77,"BC77","12-08-2020: 3 previous cases removed from Fraser. Cases redistributed accordingly"
"BC",78,"BC78","11-08-2020: 1 previous case from Vancouver Coastal removed. Cases redistributed accordingly"
"BC",79,"BC79","17-08-2020: This case was removed. Replaced with new case that was added to Interior"
"BC",80,"BC80","13-08-2020: Added demographics"
"BC",81,"BC81","Not Canadian resident. 12-08-2020: 3 previous cases from Fraser removed. Cases redistributed accordingly."
"BC",82,"BC82","13-08-2020: Case removed. Redistributed to case added on 10-08-2020"
"BC",83,"BC83","17-08-2020: This case was removed. Replaced with a new case added to Interior"
"BC",84,"BC84","13-08-2020: Case reattributed to Fraser. Case info updated."
"BC",85,"BC85","14-08-2020: 3 previous cases from Vancouver Coastal removed. Replaced with new cases from Vancouver Coastal from 14-08-2020"
"BC",86,"BC86","17-08-2020: This case was removed. Replaced with case added"
"BC",87,"BC87","[Epi-linked] 17-08-2020: This case was removed. Replaced with case added. New case is Epi-linked"
"BC",88,"BC88","17-08-2020: This case was removed. Replaced with new case added today"
"BC",89,"BC89","13-10-2020: Case removed from Fraser. Replaced with new case added today / 17-08-2020: This case was removed. Replaced with new case added today"
"BC",90,"BC90","19-08-2020: This case was removed. Replaced with new case added today"
"BC",91,"BC91","08-09-2020: Previous cases removed. Cases redistributed accordingly."
"BC",92,"BC92","20-08-2020: 1 previous case from Fraser removed. Cases redistributed accordingly"
"BC",93,"BC93","18-08-2020: Previous cases removed. Cases redistributed accordingly"
"BC",94,"BC94","25-08-2020: Case removed. Replaced with case added today"
"BC",95,"BC95","31-08-2020: Case removed from Fraser. Redistributed accordingly. 27-08-2020: Case removed from Fraser. Redistributed accordingly"
"BC",96,"BC96","25-08-2020: Previous Fraser case removed. Cases redistributed accordingly. 24-08-2020: Previous Fraser case removed. Cases redistributed accordingly"
"BC",97,"BC97","24-08-2020: Previous cases removed. Cases redistributed accordingly"
"BC",98,"BC98","25-08-2020: Fraser case removed. Cases redistributed accordingly"
"BC",99,"BC99","01-09-2020: 1 case removed from Fraser. Replaced with new case announced today"
"BC",100,"BC100","31-08-2020: Case removed from Fraser. Replaced with new case from today"
"BC",101,"BC101","26-08-2020: Previous cases removed. Cases redistributed accordingly"
"BC",102,"BC102","27-08-2020: Case removed from Fraser. Cases redistributed accordingly"
"BC",103,"BC103","27-08-2020: Case removed from Vancouver. Cases redistributed accordingly"
"BC",104,"BC104","30-11-2020: Case removed from Northern. Cases reallocated accordingly"
"BC",105,"BC105","31-08-2020: 1 case removed from Vancouver Coastal. Replaced with new case from today"
"BC",106,"BC106","31-08-2020: 1 case from Vancouver Coastal removed. Cases redistributed accordingly. 28-08-2020: 1 case removed from Fraser. Cases redistributed accordingly"
"BC",107,"BC107","31-08-2020: 4 cases removed from Vancouver Coastal. Cases redistributed accordingly"
"BC",108,"BC108","31-08-2020: Case removed from Fraser. Replaced with new case announced today"
"BC",109,"BC109","31-08-2020: Case removed from Island. Replaced with new case announced today"
"BC",110,"BC110","02-09-2020: 1 case removed from Fraser. Replaced with new case announced today"
"BC",111,"BC111","01-09-2020: 1 case from Vancouver Coastal removed. Replaced with new case from today"
"BC",112,"BC112","24-12-2020: Case removed from Fraser. Cases reallocated accordingly"
"BC",113,"BC113","09-09-2020: Case removed. Replaced with new case announced today"
"BC",114,"BC114","[Epi-Linked] 19-10-2020: Case removed from Vancouver Coastal. Replaced with new case announced today"
"BC",115,"BC115","10-09-2020: Previous cases removed. Cases redistributed accordingly."
"BC",116,"BC116","03-09-2020: 1 previous case from Island removed. Cases redistributed accordingly"
"BC",117,"BC117","04-09-2020: 1 previous case removed from Vancouver Coastal. Cases redistributed accordingly"
"BC",118,"BC118","25-09-2020: 6 cases removed from Fraser. Replaced with new case announced today"
"BC",119,"BC119","11-09-2020: Case removed from Vancouver Coastal. Replaced with new case announced today"
"BC",120,"BC120","06-10-2020: 1 case removed from Vancouver Coastal. Replaced with new case announced today"
"BC",121,"BC121","14-09-2020: 1 case removed from Fraser. Replaced with case announced today"
"BC",122,"BC122","11-09-2020: Case removed from Vancouver Coastal. Cases redistributed accordingly"
"BC",123,"BC123","22-09-2020: Previous Fraser case removed. Cases redistributed accordingly"
"BC",124,"BC124","14-09-2020: 6 cases removed from Vancouver. Replaced with new case announced today"
"BC",125,"BC125","14-09-2020: 1 case removed from Fraser. Replaced with new case announced today"
"BC",126,"BC126","18-09-2020: Case removed from Fraser. Replaced with new case announced today"
"BC",127,"BC127","13-10-2020: Case removed from Fraser. Replaced with new case announced today"
"BC",128,"BC128","24-09-2020: 4 previous cases removed from Fraser. Cases redistributed accordingly"
"BC",129,"BC129","16-09-2020: Previous Fraser case removed. Cases redistributed accordingly"
"BC",130,"BC130","21-12-2020: 1 previous non-Canadian resident removed. Cases redistributed accordingly"
"BC",131,"BC131","16-09-2020: Previous Vancouver Coastal case removed. Cases redistributed accordingly"
"BC",132,"BC132","13-10-2020: Case removed from Vancouver. Replaced with new case announced today"
"BC",133,"BC133","17-09-2020: 2 previous cases from Vancouver Coastal removed. Cases redistributed accordingly"
"BC",134,"BC134","18-09-2020: 2 cases removed from Fraser. Replaced with new case announced today"
"BC",135,"BC135","Not a Canadian resident"
"BC",136,"BC136","18-09-2020: 3 cases removed from Fraser. Replaced with new case announced today"
